stock_id,stock_name,reason,start_date,end_date
1457,宜進,除息,113.03.22,113.03.27
1477,聚陽,除息,113.03.22,113.03.27
2108,南帝,除息,113.03.22,113.03.27
2324,仁寶,除息,113.03.25,113.03.28
2458,義隆,除息,113.03.22,113.03.27
2483,百容,除息,113.03.25,113.03.28
2528,皇普,除息,113.03.27,113.04.01
3003,健和興,除息,113.03.27,113.04.01
3005,神基,除息,113.03.22,113.03.27
3257,虹冠電,除息,113.03.27,113.04.01
3706,神達,除息,113.03.22,113.03.27
4770,上品,除息,113.03.22,113.03.27
4912,聯德控股-KY,除息,113.03.26,113.03.29
4930,燦星網,除息,113.03.22,113.03.27
5388,中磊,除息,113.03.25,113.03.28
6235,華孚,除息,113.03.22,113.03.27
6415,矽力*-KY,除息,113.03.22,113.03.27
6581,鋼聯,除息,113.03.22,113.03.27
